Ref,Val,Package,PosX,PosY,Rot,Side
"24V1","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",107.950000,-84.455000,-90.000000,top
"24V_5V_Buck_ISO1","~","SPB09W8-05",125.730000,-74.077500,0.000000,top
"Aux_Fan_1","Conn_01x04","Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",106.680000,-125.095000,90.000000,top
"C1","0.1u","C_0805_2012Metric",123.952000,-115.570000,180.000000,top
"C2","0.1u","C_0805_2012Metric",123.952000,-109.220000,180.000000,top
"C3","0.1u","C_0805_2012Metric",123.952000,-102.870000,180.000000,top
"C4","0.1u","C_0805_2012Metric",123.952000,-96.520000,180.000000,top
"C5","0.1u","C_0805_2012Metric",134.620000,-116.078000,-90.000000,top
"C6","0.1u","C_0805_2012Metric",134.620000,-109.728000,-90.000000,top
"C7","0.1u","C_0805_2012Metric",134.620000,-103.378000,-90.000000,top
"C8","0.1u","C_0805_2012Metric",134.620000,-97.028000,-90.000000,top
"C9","470u","CP_Radial_D10.0mm_P5.00mm",119.380000,-77.007323,-90.000000,top
"C10","0.1u","C_0805_2012Metric",123.952000,-111.506000,180.000000,top
"C11","10u","C_0805_2012Metric",133.096000,-130.556000,-90.000000,top
"C12","10u","C_0805_2012Metric",156.384701,-82.804000,90.000000,top
"C13","47u","C_1210_3225Metric",141.224000,-86.995000,0.000000,top
"C14","0.1u","C_0805_2012Metric",123.952000,-105.156000,180.000000,top
"C15","0.1u","C_0805_2012Metric",123.952000,-98.806000,180.000000,top
"C16","0.1u","C_0805_2012Metric",123.952000,-92.456000,180.000000,top
"C17","0.1u","C_0805_2012Metric",175.129219,-116.078000,0.000000,top
"C18","0.1u","C_0805_2012Metric",163.576000,-93.980000,-90.000000,top
"C19","0.1u","C_0805_2012Metric",163.576000,-97.723360,-90.000000,top
"D1","D_Schottky","D_DO-201AD_P15.24mm_Horizontal",114.300000,-132.080000,0.000000,top
"Display1","Conn_01x04","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",165.294000,-77.741000,180.000000,top
"Encoder1","Conn_01x05","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",164.418000,-86.377000,0.000000,top
"Feather_M4_CAN_Express1","Adafruit_Feather_Generic","Adafruit_Feather",157.480000,-129.540000,180.000000,top
"LED_TEMP1","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",162.580000,-131.555000,0.000000,top
"PSU_Fan1","Conn_01x04","Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",116.860000,-113.665000,90.000000,top
"Pump_1","Conn_01x04","Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",116.840000,-125.095000,90.000000,top
"Q2","Q_PMOS_GSD","SOT-23",172.227906,-99.548037,0.000000,top
"Q3","Q_NMOS_GSD","SOT-23",172.212000,-95.758000,0.000000,top
"R1","10K","R_0805_2012Metric",170.180000,-124.968000,180.000000,top
"R2","10K","R_0805_2012Metric",170.180000,-127.254000,180.000000,top
"R3","100","R_0805_2012Metric",170.180000,-122.682000,180.000000,top
"R4","1-10M","R_0805_2012Metric",129.540000,-89.408000,0.000000,top
"R5","10K","R_0805_2012Metric",123.952000,-113.538000,0.000000,top
"R6","10K","R_0805_2012Metric",123.952000,-107.188000,0.000000,top
"R7","10K","R_0805_2012Metric",123.952000,-100.838000,0.000000,top
"R8","10K","R_0805_2012Metric",123.952000,-94.488000,0.000000,top
"R9","10K","R_0805_2012Metric",175.387000,-99.568000,-90.000000,top
"R12","10K","R_0805_2012Metric",175.107257,-118.364000,180.000000,top
"R13","10K","R_0805_2012Metric",161.290000,-93.980000,90.000000,top
"R14","10K","R_0805_2012Metric",161.290000,-97.723360,90.000000,top
"R15","10K","R_0805_2012Metric",168.910000,-95.758000,-90.000000,top
"R16","10K","R_0805_2012Metric",168.910000,-99.488244,90.000000,top
"Rad_Fan_1","Conn_01x04","Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",106.680000,-102.235000,90.000000,top
"Rad_Fan_2","Conn_01x04","Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",116.840000,-102.235000,90.000000,top
"Rad_Fan_3","Conn_01x04","Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",106.680000,-113.665000,90.000000,top
"Remote1","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",172.703000,-108.946000,90.000000,top
"Switch1","Conn_01x04","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",162.620000,-115.807000,0.000000,top
"Therm_sw1","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",163.813000,-108.946000,90.000000,top
"U1","ADuM1201AR","SOIC-8_3.9x4.9mm_P1.27mm",129.540000,-93.980000,180.000000,top
"U2","R-783.3-0.5","Converter_DCDC_RECOM_R-78E-0.5_THT",125.095000,-125.905500,0.000000,top
"U3","LD1117V","TO-220-3_Vertical",151.062733,-76.803668,-90.000000,top
"U4","ADuM1201AR","SOIC-8_3.9x4.9mm_P1.27mm",129.540000,-100.330000,180.000000,top
"U5","ADuM1201AR","SOIC-8_3.9x4.9mm_P1.27mm",129.540000,-106.680000,180.000000,top
"U6","ADuM1201AR","SOIC-8_3.9x4.9mm_P1.27mm",129.540000,-113.030000,180.000000,top
"WATER_TEMP1","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",162.580000,-123.681000,0.000000,top
