"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"U3","1","LD1117V","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.st.com/resource/en/datasheet/ld1117.pdf"
"U2","1","R-783.3-0.5","","","","Converter_DCDC:Converter_DCDC_RECOM_R-78E-0.5_THT","https://www.recom-power.com/pdf/Innoline/R-78xx-0.5.pdf"
"U1,U4,U5,U6","4","ADuM1201AR","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM1200_1201.pdf"
"R4","1","1-10M","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3","1","100","","","","Resistor_SMD:R_0805_2012Metric","~"
"R1,R2,R5,R6,R7,R8,R9,R12,R13,R14,R15,R16","12","10K","","","","Resistor_SMD:R_0805_2012Metric","~"
"Q3","1","Q_NMOS_GSD","","","","Package_TO_SOT_SMD:SOT-23","~"
"Q2","1","Q_PMOS_GSD","","","","Package_TO_SOT_SMD:SOT-23","~"
"LED_TEMP1,Remote1,Therm_sw1,WATER_TEMP1","4","Conn_01x02","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"Feather_M4_CAN_Express1","1","Adafruit_Feather_Generic","","","","Module:Adafruit_Feather","https://cdn-learn.adafruit.com/downloads/pdf/adafruit-feather.pdf"
"Encoder1","1","Conn_01x05","","","","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","~"
"Display1,Switch1","2","Conn_01x04","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"D1","1","D_Schottky","","","","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","~"
"C13","1","47u","","","","Capacitor_SMD:C_1210_3225Metric","~"
"C11,C12","2","10u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C9","1","470u","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"C1,C2,C3,C4,C5,C6,C7,C8,C10,C14,C15,C16,C17,C18,C19","15","0.1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"Aux_Fan_1,PSU_Fan1,Pump_1,Rad_Fan_1,Rad_Fan_2,Rad_Fan_3","6","Conn_01x04","","","","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","~"
"24V_5V_Buck_ISO1","1","~","","","","Breakout Boards:SPB09W8-05",""
"24V1","1","Screw_Terminal_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
